scenario,min_method,max_method,min_el_plus_ul,max_el_plus_ul,abs_diff,rel_diff
0,Изотоническая регрессия,Бета-калибровка,657346102.753561,683552939.1217533,26206836.368192315,0.03986763785228868
1,Изотоническая регрессия,Бета-калибровка,665702041.2670751,690552584.7028356,24850543.435760498,0.03732982910561729
2,Изотоническая регрессия,Бета-калибровка,667685887.4987388,692732681.3208065,25046793.822067738,0.0375128399312095
3,Изотоническая регрессия,Бета-калибровка,661591232.3627877,687129161.6351761,25537929.27238834,0.03860076739708735
4,Изотоническая регрессия,Бета-калибровка,664756537.211442,689581630.8182939,24825093.606851935,0.03734464005572571
5,Изотоническая регрессия,Бета-калибровка,657224583.0950996,682915723.783061,25691140.68796146,0.0390903525960227
6,Изотоническая регрессия,Бета-калибровка,660608577.5198321,686071035.9108543,25462458.391022205,0.03854394153738913
7,Изотоническая регрессия,Бета-калибровка,658204523.8662546,683920495.0002173,25715971.13396275,0.03906987904444754
8,Изотоническая регрессия,Бета-калибровка,657605526.2127507,683325128.4895904,25719602.276839733,0.03911098865753577
9,Изотоническая регрессия,Бета-калибровка,660208001.2959871,685468120.4925454,25260119.196558237,0.03826084983364738
10,Изотоническая регрессия,Бета-калибровка,662057915.4954735,687308123.774626,25250208.279152513,0.03813897196630549
11,Изотоническая регрессия,Бета-калибровка,662093794.7803303,687248731.1276088,25154936.347278476,0.03799301027375493
12,Изотоническая регрессия,Бета-калибровка,664327450.2459431,689532210.2823185,25204760.036375403,0.037940265793689934
13,Изотоническая регрессия,Бета-калибровка,657321725.5956128,683222754.4753435,25901028.8797307,0.03940388377740177
14,Изотоническая регрессия,Бета-калибровка,655917219.7660632,680895240.640228,24978020.87416482,0.03808105675754843
15,Изотоническая регрессия,Бета-калибровка,661190775.6847682,686051912.0436786,24861136.35891044,0.0376005493016184
16,Изотоническая регрессия,Бета-калибровка,666622264.3348272,691186460.1090045,24564195.774177313,0.036848747916765276
17,Изотоническая регрессия,Бета-калибровка,657903287.7400887,683306214.3582089,25402926.618120193,0.038611946605981814
18,Изотоническая регрессия,Бета-калибровка,660523129.0237356,685797872.5253363,25274743.501600623,0.0382647365262699
19,Изотоническая регрессия,Бета-калибровка,663819782.3395907,689407500.5184369,25587718.17884624,0.038546182050592036
20,Изотоническая регрессия,Бета-калибровка,665966653.3947827,690954903.3061223,24988249.91133964,0.03752177347613634
21,Изотоническая регрессия,Бета-калибровка,663474365.861159,688588745.5355833,25114379.67442429,0.03785282592165711
22,Изотоническая регрессия,Бета-калибровка,663071338.1082549,688057593.8111651,24986255.702910185,0.03768260557634125
23,Изотоническая регрессия,Бета-калибровка,664502230.4049876,689974466.8164517,25472236.411464095,0.03833280799665606
24,Изотоническая регрессия,Бета-калибровка,663139535.2431524,688569577.9743297,25430042.73117733,0.038347951493878187
25,Изотоническая регрессия,Бета-калибровка,656365754.0735512,682192743.5701815,25826989.49663031,0.03934847200107912
26,Изотоническая регрессия,Бета-калибровка,663391762.696768,688643050.5384791,25251287.841711044,0.038063915263375436
27,Изотоническая регрессия,Бета-калибровка,661002779.353023,685439547.3805542,24436768.027531147,0.0369692364250713
28,Изотоническая регрессия,Бета-калибровка,668561464.4176738,693890560.3925325,25329095.97485864,0.03788596460150546
29,Изотоническая регрессия,Бета-калибровка,660032374.5787334,685299732.7848887,25267358.2061553,0.03828199824634697
30,Изотоническая регрессия,Бета-калибровка,654930703.3767533,680319227.9291306,25388524.552377224,0.038765207405114285
31,Изотоническая регрессия,Бета-калибровка,660708579.6916107,686773956.5714777,26065376.879866958,0.03945064084385451
32,Изотоническая регрессия,Бета-калибровка,655994172.7844151,681361790.7901204,25367618.005705237,0.038670492907018565
33,Изотоническая регрессия,Бета-калибровка,661692788.29634,687088872.3229451,25396084.02660513,0.03838047576730043
34,Изотоническая регрессия,Бета-калибровка,663452928.143398,689538266.5599686,26085338.416570544,0.03931754207426225
35,Изотоническая регрессия,Бета-калибровка,663127085.6107979,688709609.7080059,25582524.097208023,0.03857861434455552
36,Изотоническая регрессия,Бета-калибровка,663534669.2286074,688547425.4572331,25012756.228625655,0.037696231091744234
37,Изотоническая регрессия,Бета-калибровка,666106537.3452331,690979135.2863578,24872597.941124678,0.03734026998181761
38,Изотоническая регрессия,Бета-калибровка,660518759.3536153,685646859.9487798,25128100.595164537,0.03804297794623568
39,Изотоническая регрессия,Бета-калибровка,663101264.8637707,688196475.8197775,25095210.956006765,0.03784521653892847
40,Изотоническая регрессия,Бета-калибровка,664376984.1408876,689800662.9421657,25423678.801278114,0.0382669469415075
41,Изотоническая регрессия,Бета-калибровка,663225407.7263219,688771101.2066011,25545693.480279207,0.03851736254775777
42,Изотоническая регрессия,Бета-калибровка,664687713.3635799,689797555.0665038,25109841.702923894,0.03777690063783227
43,Изотоническая регрессия,Бета-калибровка,663086771.4130186,688838378.5053746,25751607.092355967,0.03883595360751964
44,Изотоническая регрессия,Бета-калибровка,656760240.7376993,682112877.5227146,25352636.785015345,0.03860257550995817
45,Изотоническая регрессия,Бета-калибровка,663418029.5017935,688904661.9578424,25486632.456048846,0.038417153774353285
46,Изотоническая регрессия,Бета-калибровка,659349557.6478314,685426641.1341155,26077083.486284018,0.03954970953391036
47,Изотоническая регрессия,Бета-калибровка,657942296.6840208,683777314.7210696,25835018.037048817,0.03926638881138262
48,Изотоническая регрессия,Бета-калибровка,662687680.8560089,688714271.1958456,26026590.339836717,0.03927429329336193
49,Изотоническая регрессия,Бета-калибровка,659912128.777899,685385296.7813187,25473168.003419638,0.03860084834414814
50,Изотоническая регрессия,Бета-калибровка,660851867.516701,686684230.9192262,25832363.402525187,0.039089491415975085
51,Изотоническая регрессия,Бета-калибровка,659685584.1586691,684427297.0064673,24741712.84779823,0.03750531077521211
52,Изотоническая регрессия,Бета-калибровка,664391210.3379672,690304246.1994559,25913035.8614887,0.039002677124983454
53,Изотоническая регрессия,Бета-калибровка,662248611.174089,687427818.0479511,25179206.873862147,0.03802077716587789
54,Изотоническая регрессия,Бета-калибровка,659410954.0355723,684773948.5500946,25362994.514522314,0.0384631076558581
55,Изотоническая регрессия,Бета-калибровка,662199403.0838809,687408695.929956,25209292.846075058,0.038069035895645156
56,Изотоническая регрессия,Бета-калибровка,662715814.5745057,688950572.0181459,26234757.443640232,0.03958673818653952
57,Изотоническая регрессия,Бета-калибровка,659929648.3997489,685369988.2440497,25440339.844300747,0.038550078642459164
58,Изотоническая регрессия,Бета-калибровка,659469388.6346371,684287369.8307725,24817981.1961354,0.037633257318460914
59,Изотоническая регрессия,Бета-калибровка,665641010.1970342,691262289.837213,25621279.6401788,0.03849113748654808
60,Изотоническая регрессия,Бета-калибровка,661271890.504637,687512258.096794,26240367.592157006,0.03968166191387958
61,Изотоническая регрессия,Бета-калибровка,658788318.9109296,684150151.4619968,25361832.551067233,0.038497696184100434
62,Изотоническая регрессия,Бета-калибровка,662141797.9140292,687595109.0888506,25453311.174821377,0.038440876644561514
63,Изотоническая регрессия,Бета-калибровка,661929485.8940659,686879715.5940604,24950229.699994564,0.03769318368752583
64,Изотоническая регрессия,Бета-калибровка,663121518.3197957,688295412.169316,25173893.849520326,0.03796271596389368
65,Изотоническая регрессия,Бета-калибровка,654193052.6965866,679862335.6037524,25669282.907165766,0.03923808545712442
66,Изотоническая регрессия,Бета-калибровка,663332331.3681986,688014209.4467912,24681878.07859254,0.03720891762909151
67,Изотоническая регрессия,Бета-калибровка,657404565.4607189,683402211.9492807,25997646.48856187,0.03954588674075047
68,Изотоническая регрессия,Бета-калибровка,657368029.2631278,683466761.8123704,26098732.549242616,0.039701858604985416
69,Изотоническая регрессия,Бета-калибровка,658018335.7711579,683520929.5482478,25502593.777089953,0.03875666131279222
70,Изотоническая регрессия,Бета-калибровка,660017239.8748136,685768575.2724327,25751335.39761913,0.03901615570299864
71,Изотоническая регрессия,Бета-калибровка,664449892.4906836,688942107.1896036,24492214.69892001,0.03686089045347152
72,Изотоническая регрессия,Бета-калибровка,656687719.9742894,683245597.005555,26557877.031265616,0.04044217094893355
73,Изотоническая регрессия,Бета-калибровка,658616135.991454,683866238.0023519,25250102.010897875,0.03833811628815834
74,Изотоническая регрессия,Бета-калибровка,664389348.7197987,689833530.2602392,25444181.54044056,0.038297094300907365
75,Изотоническая регрессия,Бета-калибровка,667258668.7531784,692104259.9857278,24845591.23254943,0.03723532176655754
76,Изотоническая регрессия,Бета-калибровка,659764866.0127885,685489070.5951958,25724204.582407236,0.03898995825265514
77,Изотоническая регрессия,Бета-калибровка,661624795.2433199,686620081.0058833,24995285.762563467,0.03777864122122444
78,Изотоническая регрессия,Бета-калибровка,660615643.507405,685663291.1630766,25047647.655671597,0.037915613869944374
79,Изотоническая регрессия,Бета-калибровка,659825872.7861292,685093066.7961965,25267194.010067225,0.03829373028883506
80,Изотоническая регрессия,Бета-калибровка,663916939.7879643,688819519.529227,24902579.741262674,0.037508577125951674
81,Изотоническая регрессия,Бета-калибровка,664702305.6268698,690172786.0482664,25470480.421396613,0.03831862806219067
82,Изотоническая регрессия,Бета-калибровка,656269246.1436509,681580694.6995819,25311448.555930972,0.03856869524919128
83,Изотоническая регрессия,Бета-калибровка,662129752.4283669,687800622.8053927,25670870.377025843,0.03877015083958649
84,Изотоническая регрессия,Бета-калибровка,652661717.760539,678689315.7017987,26027597.941259623,0.03987915520856261
85,Изотоническая регрессия,Бета-калибровка,659956655.1343472,686139771.8500878,26183116.71574056,0.03967399451470108
86,Изотоническая регрессия,Бета-калибровка,662543428.399591,687573863.0026073,25030434.603016376,0.03777931155921164
87,Изотоническая регрессия,Бета-калибровка,665962692.7966256,690445523.8130958,24482831.016470194,0.03676306688240697
88,Изотоническая регрессия,Бета-калибровка,664217898.3365321,689584229.8357892,25366331.499257088,0.038189774112959846
89,Изотоническая регрессия,Бета-калибровка,663604488.7984004,688480444.6223814,24875955.823981047,0.037486117474919964
90,Изотоническая регрессия,Бета-калибровка,661942111.9844055,687289053.7660222,25346941.781616688,0.038291780085769535
91,Изотоническая регрессия,Бета-калибровка,661350942.7649748,686549243.7034646,25198300.938489795,0.038101255035852495
92,Изотоническая регрессия,Бета-калибровка,659291097.5999045,684128761.4911832,24837663.891278625,0.037673288751657825
93,Изотоническая регрессия,Бета-калибровка,661846899.8313825,686855479.5502032,25008579.71882069,0.03778604950055984
94,Изотоническая регрессия,Бета-калибровка,662683137.1600286,688397832.7411742,25714695.581145644,0.038803908141299075
95,Изотоническая регрессия,Бета-калибровка,661920448.0803022,687208473.4609207,25288025.380618453,0.038204025051588354
96,Изотоническая регрессия,Бета-калибровка,660319559.604805,685822337.2745347,25502777.66972971,0.038621872241665654
97,Изотоническая регрессия,Бета-калибровка,662473427.102015,686992897.1076332,24519470.005618215,0.03701200531601464
98,Изотоническая регрессия,Бета-калибровка,655504822.0349154,681398153.4383152,25893331.403399706,0.039501359155555534
99,Изотоническая регрессия,Бета-калибровка,658961186.8072166,684848008.203388,25886821.39617133,0.03928428853541064
100,Изотоническая регрессия,Бета-калибровка,656969152.8746338,682920804.5753266,25951651.700692773,0.03950208558063761
101,Изотоническая регрессия,Бета-калибровка,658029018.8829207,683399116.2875543,25370097.404633522,0.03855467870961398
102,Изотоническая регрессия,Бета-калибровка,663069697.5322798,687841866.815361,24772169.283081174,0.037359827142266905
103,Изотоническая регрессия,Бета-калибровка,656991282.4109368,682526941.3071154,25535658.896178603,0.0388675764501339
104,Изотоническая регрессия,Бета-калибровка,662863989.4250088,688852455.0158575,25988465.590848684,0.03920633192548592
105,Изотоническая регрессия,Бета-калибровка,660121694.4323641,685416381.6916413,25294687.259277225,0.038318218402181164
106,Изотоническая регрессия,Бета-калибровка,658048526.7064247,683387072.724938,25338546.018513322,0.03850558885882532
107,Изотоническая регрессия,Бета-калибровка,661992604.6894572,687491323.8115408,25498719.122083664,0.038518132893712906
108,Изотоническая регрессия,Бета-калибровка,659242640.2101114,684936451.8824005,25693811.672289133,0.038974741779597415
109,Изотоническая регрессия,Бета-калибровка,661441692.2794137,686956579.0759451,25514886.79653144,0.03857465759166743
110,Изотоническая регрессия,Бета-калибровка,663525691.2240112,688575776.0027685,25050084.778757334,0.03775299903240708
111,Изотоническая регрессия,Бета-калибровка,666562751.8617628,691605088.4030243,25042336.541261554,0.03756936083109402
112,Изотоническая регрессия,Бета-калибровка,666434932.4114395,691734149.9407516,25299217.529312015,0.037962021945291635
113,Изотоническая регрессия,Бета-калибровка,657428395.8936028,682317480.8585081,24889084.964905262,0.03785824451813498
114,Изотоническая регрессия,Бета-калибровка,664112008.1444325,689113195.0112662,25001186.866833687,0.037646039463566476
115,Изотоническая регрессия,Бета-калибровка,661760090.0531251,686683957.3011234,24923867.247998238,0.03766299543086284
116,Изотоническая регрессия,Бета-калибровка,663017673.632795,688876919.2805018,25859245.647706866,0.03900234741258002
117,Изотоническая регрессия,Бета-калибровка,659309094.4298661,684784765.8892748,25475671.45940876,0.038639951541148854
118,Изотоническая регрессия,Бета-калибровка,663476570.1078386,688609172.712463,25132602.60462439,0.0378801659876843
119,Изотоническая регрессия,Бета-калибровка,657798874.0337548,683585869.3391469,25786995.305392027,0.039201945037182856
120,Изотоническая регрессия,Бета-калибровка,659066418.5327029,684781268.4837666,25714849.951063633,0.03901708420877108
121,Изотоническая регрессия,Бета-калибровка,659082518.2604944,683983983.0434755,24901464.782981157,0.037782013773788425
122,Изотоническая регрессия,Бета-калибровка,665907396.8390374,691465764.0437512,25558367.20471382,0.03838126340995093
123,Изотоническая регрессия,Бета-калибровка,662396908.9776359,688376154.0331166,25979245.05548072,0.0392200577982435
124,Изотоническая регрессия,Бета-калибровка,660633507.0851095,686051907.9913739,25418400.906264424,0.038475797297078014
125,Изотоническая регрессия,Бета-калибровка,666306210.9977937,691350934.259833,25044723.262039304,0.037587407784380134
126,Изотоническая регрессия,Бета-калибровка,661598085.6505818,686624895.4419644,25026809.79138255,0.037827814702293856
127,Изотоническая регрессия,Бета-калибровка,660615341.6906677,685106624.371606,24491282.680938244,0.03707343916394581
128,Изотоническая регрессия,Бета-калибровка,661162080.4311823,686428678.1960634,25266597.764881134,0.03821543689922948
129,Изотоническая регрессия,Бета-калибровка,661770443.9921418,687894899.4972241,26124455.50508225,0.03947661268684956
