scenario,method,p_value_intime,p_value_oot,p_value_grade_intime,p_value_grade_oot,oot_mean_pd,expected_loss,unexpected_loss_capital,el_plus_ul,rwa
0,Бета-калибровка,0.7722183572153536,0.019674374055227435,0.0022592205334397808,0.004524059628679385,0.03620148783252293,101668258.4288574,465828154.26400006,567496412.6928575,5822851928.300001
0,Изотоническая регрессия,0.7982904899285859,0.02308385018836496,0.02410897076545937,0.006384474637347261,0.03611623762278161,101428841.73981988,470210985.12384665,571639826.8636665,5877637314.048083
0,Логит-калибровка,0.7592643500638737,0.021329215710883132,0.0005068330137275856,0.010441763099181718,0.036178593509103504,101603962.01096629,472480021.96627665,574083983.977243,5906000274.578458
0,Монотонный сплайн,0.7592667684269869,0.021323759311913132,0.0020970184839992937,9.994418512696438e-05,0.03617392000877047,101590836.95263098,477172844.56561035,578763681.5182414,5964660557.070128
0,Французский сплайн,0.7592646208380609,0.021329950247920938,0.1410645864347334,0.006045658954856108,0.036179187637171414,101605630.56023219,476046366.7601118,577651997.320344,5950579584.501397
1,Бета-калибровка,0.8107179051435303,0.28662570741975757,0.09616516324477323,0.04256028479520943,0.03769666193249647,105867305.37122309,472355942.848424,578223248.2196472,5904449285.6053
1,Изотоническая регрессия,0.8372582806186859,0.27300318105340304,0.011302117149575344,0.05691651554654524,0.03771235081250962,105911366.02185203,476289046.0989107,582200412.1207628,5953613076.236383
1,Логит-калибровка,0.8107329394444982,0.28652687329960647,0.08920597161356715,0.06991316048291021,0.037664262246405726,105776314.09280583,478820018.0232539,584596332.1160598,5985250225.290674
1,Монотонный сплайн,0.8107099460267715,0.27301035769569826,0.005231841496600958,0.0005722804881663011,0.03773103131745984,105963828.35195422,483510766.33758473,589474594.689539,6043884579.219809
1,Французский сплайн,0.8107103703697278,0.2730019371749295,0.028147411969741278,0.018948391714101464,0.03771801604065737,105927276.24858218,482376322.26322806,588303598.5118103,6029704028.29035
2,Бета-калибровка,0.8246298877498043,0.005622761308526399,0.029122960866524234,0.02831697305250832,0.037413786526158024,105072878.08006218,471172003.5273303,576244881.6073925,5889650044.091629
2,Изотоническая регрессия,0.8378696586774375,0.005610153632642021,0.18634530317510728,0.0034158877963511554,0.0373582658914233,104916953.92947319,475210406.67858475,580127360.608058,5940130083.482309
2,Логит-калибровка,0.8114161996682745,0.00561307619153698,0.020239186874568448,0.03902864516894785,0.037386911564157535,104997402.43678004,477651149.9118483,582648552.3486283,5970639373.898104
2,Монотонный сплайн,0.8378649672224622,0.00512934648891989,0.0018101207604803182,0.0007919921529116946,0.0374348380495901,105131999.17846887,482359947.9027059,587491947.0811747,6029499348.783823
2,Французский сплайн,0.8378731146805267,0.005129225631602038,0.15525127958063334,0.01818769565692261,0.037427646039441036,105111801.1371662,481225865.14610827,586337666.2832744,6015323314.326353
3,Бета-калибровка,0.8651029865344269,0.0541384533231644,0.07080172390376996,0.022828332228782115,0.03714061179548958,104305694.16645296,470384912.6263485,574690606.7928015,5879811407.829356
3,Изотоническая регрессия,0.9052765451017833,0.05794340688562789,0.1034864156432966,0.04164387496856975,0.03705102509264578,104054098.87018642,474409597.15887266,578463696.0290592,5930119964.4859085
3,Логит-калибровка,0.8651095128053087,0.05408461547381896,0.04913138308169527,0.02295924055545443,0.037087831518864016,104157466.03757772,476905269.3463275,581062735.3839052,5961315866.829093
3,Монотонный сплайн,0.8784626357378642,0.054122256878791686,0.0013158229952342593,0.0021032516305340837,0.037132834459300636,104283852.2954999,481444729.76311094,585728582.0586109,6018059122.038886
3,Французский сплайн,0.878464519087648,0.0541112973487622,0.12053676868014296,0.020858642055796045,0.037126576224639204,104266276.66927674,480351415.1705349,584617691.8398117,6004392689.631686
4,Бета-калибровка,0.7585008791719436,0.0482776986325775,0.13020967815924203,0.08889328509485914,0.037662867532010945,105772397.17689955,471671757.05692095,577444154.2338204,5895896963.211512
4,Изотоническая регрессия,0.7584146272159951,0.051746228228880524,0.03531170811940891,0.05463430978039627,0.037601117265516515,105598977.72847658,476043466.9472599,581642444.6757365,5950543336.840749
4,Логит-калибровка,0.7584964159292198,0.05180740341479765,0.0383505303899612,0.1432050560474898,0.03764277951616642,105715981.99320179,478153709.4185262,583869691.4117279,5976921367.731577
4,Монотонный сплайн,0.7584162666943547,0.04828368235363365,0.010944595580817219,0.003477943466739359,0.03767549548717543,105807861.5261835,482900252.9448813,588708114.4710648,6036253161.811016
4,Французский сплайн,0.7584253739166517,0.048280283638295785,0.30353748128935454,0.03340014575166771,0.03767010906421517,105792734.29594189,481752057.06860495,587544791.3645468,6021900713.357561
5,Бета-калибровка,0.4942460641645592,0.030324167867459048,0.008560138621206286,0.02063917899926187,0.0364598577737918,102393864.5719169,468990684.0702799,571384548.6421968,5862383550.878498
5,Изотоническая регрессия,0.494243000858038,0.03267555956738931,0.00040150789216818726,0.025424321379150516,0.03637474652777497,102154838.14860323,473309154.6828512,575463992.8314545,5916364433.535641
5,Логит-калибровка,0.49423186655208007,0.0326794643710494,0.009406905848052618,0.02063917899926187,0.036381506345775305,102173822.42147538,475591072.0567023,577764894.4781778,5944888400.708779
5,Монотонный сплайн,0.5158831593660955,0.03031498134255656,0.00043163662220364673,0.001853967485833039,0.0364483656021545,102361589.9570907,480284814.91035247,582646404.8674431,6003560186.379405
5,Французский сплайн,0.5049715951019655,0.030310151328377423,0.001202746133898429,0.018948391714101464,0.03643682138566809,102329169.17951028,479156748.1156597,581485917.2951701,5989459351.445747
6,Бета-калибровка,0.5526578452462192,0.0292981478875158,0.02256858661432114,0.0973309317784228,0.03709181292540654,104168647.41971171,468693110.637262,572861758.0569737,5858663882.965775
6,Изотоническая регрессия,0.5639830356606418,0.03158101252456799,0.021269642179566766,0.039791558064941154,0.03703098782116939,103997826.19697213,472505703.17437506,576503529.3713473,5906321289.679688
6,Логит-калибровка,0.5414876498702634,0.029290403358425275,0.015711472564398907,0.25381127585648156,0.03707034510494187,104108357.19271874,475288982.90384626,579397340.096565,5941112286.298079
6,Монотонный сплайн,0.5639807409158203,0.029322806205374176,0.0028811293959494252,0.004216671040760805,0.03711488841839208,104233452.63421232,479769315.85399806,584002768.4882104,5997116448.174975
6,Французский сплайн,0.5526409702594353,0.029311805023759647,0.056644378101114654,0.0648478822505885,0.03710643181729175,104209703.11568215,478687199.0866036,582896902.2022858,5983589988.582544
7,Бета-калибровка,0.6457379626167904,0.01905322940719919,0.08237575373055032,0.0006997312175930562,0.03686260581636465,103524942.17467847,468784871.0157904,572309813.1904689,5859810887.69738
7,Изотоническая регрессия,0.597335951423397,0.020618854283295504,0.08617871680331306,0.001217226934429353,0.03678984368068052,103320596.99282318,473072469.100297,576393066.0931202,5913405863.753712
7,Логит-калибровка,0.6580809539828036,0.02064051692652336,0.05709866439078708,0.001773037664331796,0.036816860549711186,103396471.16780889,475345728.94638884,578742200.1141977,5941821611.829861
7,Монотонный сплайн,0.6335411644891962,0.019058324245411318,0.03521871130753245,4.572868142069694e-05,0.03687057569403674,103547324.77913278,480115952.0515044,583663276.8306372,6001449400.643805
7,Французский сплайн,0.645704803512736,0.019053062305289355,0.21821076340490458,0.001268616198896638,0.03686229708338281,103524075.12897229,478972183.59400094,582496258.7229731,5987152294.925011
8,Бета-калибровка,0.4771689936355228,0.03554350899564468,0.05578155452035648,0.009443466380281476,0.036431530288109616,102314309.66112706,468481319.28417474,570795628.9453018,5856016491.052184
8,Изотоническая регрессия,0.49816247026880894,0.03826115660313506,0.017457494550068987,0.009429868662950964,0.036386926375024074,102189044.03161761,472698653.75415164,574887697.7857692,5908733171.926895
8,Логит-калибровка,0.46685922829016535,0.038255319726948275,0.03861783605656512,0.01647638022081387,0.03637620984046286,102158947.71595591,475049607.7787298,577208555.4946858,5938120097.234123
8,Монотонный сплайн,0.47716256484310865,0.03554418216841494,0.010402313594641641,0.001236589787794243,0.036443452643836596,102347792.40495071,479742258.7929057,582090051.1978564,5996778234.911321
8,Французский сплайн,0.4771706095225449,0.038330157977885866,0.07410779782635106,0.012796638153883008,0.036430306838149754,102310873.72425976,478612095.1650523,580922968.889312,5982651189.563153
9,Бета-калибровка,0.7990982733249714,0.029595289241645027,0.12842533552434654,0.10448049441219925,0.03722962081175364,104555667.08772892,470858078.77539825,575413745.8631272,5885725984.692478
9,Изотоническая регрессия,0.7859718942036951,0.02959397004964822,0.041881741152569985,0.04218480838246644,0.03722699047681075,104548280.05507532,475152195.97690177,579700476.0319772,5939402449.711271
9,Логит-калибровка,0.8122636962870378,0.03188378393303404,0.08801853342824983,0.27144083471585223,0.0371523704126838,104338717.0669812,477392496.89286005,581731213.9598413,5967406211.16075
9,Монотонный сплайн,0.7990587271851217,0.02744530158782972,0.005675162012946228,0.0015616472897077025,0.03727900252431323,104694350.68928128,482202783.43574,586897134.1250212,6027534792.946749
9,Французский сплайн,0.7990771002074932,0.029615545680315384,0.14765058667445746,0.0363317946404555,0.037252087262406815,104618761.86774331,481041261.72744775,585660023.5951911,6013015771.593097
10,Бета-калибровка,0.9184904435303802,0.08144281783577767,0.09060665875353352,0.02558982706708765,0.03686902137451598,103542959.62819071,470517693.591916,574060653.2201068,5881471169.898951
10,Изотоническая регрессия,0.9592175007794339,0.08149316138284968,0.09461444640746527,0.07597159934566852,0.03688444227580045,103586267.68735798,474415593.0712805,578001860.7586385,5930194913.391006
10,Логит-калибровка,0.9184989634983027,0.08687406062327577,0.048279764860673244,0.08263573764443283,0.03680626246160847,103366707.49718124,477017003.7729504,580383711.2701316,5962712547.16188
10,Монотонный сплайн,0.9184778635279068,0.0814434521477308,0.010402313594641641,0.00012762620547450957,0.036869247322582545,103543594.18074083,481502902.54418266,585046496.7249235,6018786281.802283
10,Французский сплайн,0.9184798834531108,0.08141479544221793,0.19831262463062144,0.009350994674183096,0.036857617413371235,103510932.74371178,480427757.64679617,583938690.3905079,6005346970.584951
11,Бета-калибровка,0.722951055438561,0.011067237144665582,0.056418463745855976,0.002415328642492166,0.03765976606322654,105763687.01196542,472225815.48817396,577989502.5001394,5902822693.602174
11,Изотоническая регрессия,0.7357452074355256,0.012013167356486797,0.011855059805433003,0.0022871502591474864,0.03757550240426345,105527040.95213348,476632755.9251106,582159796.8772441,5957909449.063883
11,Логит-калибровка,0.7229690034315475,0.011041558487422321,0.06763108322644928,0.0024389862601584002,0.03760786237141333,105617920.6838772,478676253.23888767,584294173.9227649,5983453165.486096
11,Монотонный сплайн,0.7356993764088922,0.010153590964937221,0.008811927016194905,5.3752487252503044e-06,0.03766820082737834,105787375.20360933,483706561.7389104,589493936.9425198,6046332021.73638
