method,n_bins,alpha,shrinkage,fit_ct,fit_mean_pd,fit_ct_gap_abs,oot_default_rate,oot_mean_pd,oot_default_gap,oot_abs_default_gap,brier_score,log_loss,ece_quantile,cal_slope,cal_intercept,rwa_bln,rwa_delta_vs_logit_pct,rwa_abs_delta_to_minus_1pct,candidate_switch_knots,n_binomial_bins,significant_bins_5pct,max_abs_z,min_binomial_p_value,mean_abs_dr_minus_pd
Французский сплайн,25.0,50.0,0.25,0.04807199590058929,0.04807199590058922,6.938893903907228e-17,0.047288058340929806,0.04906452514483541,-15.590272671075581,15.590272671075581,0.03401,0.13043,0.00511,0.9771,-0.0962,8.569369238465473,-0.00998359718458726,1.6402815412739497e-05,6.0,10.0,2.0,3.1062973303918113,0.008109907202537578,0.004885090055485686
Французский сплайн,40.0,50.0,0.15,0.04807199590058929,0.0480719959005892,9.020562075079397e-17,0.047288058340929806,0.04906686352306507,-15.610794278419064,15.610794278419064,0.03403,0.13047,0.00518,0.9755,-0.0993,8.569239238977179,-0.009968275479200869,3.1724520799131586e-05,10.0,10.0,2.0,2.91567823202939,0.011281860094819796,0.004964254324155017
Французский сплайн,35.0,35.0,0.25,0.04807199590058929,0.04807199590058922,6.938893903907228e-17,0.047288058340929806,0.04905923750408959,-15.543868335890238,15.543868335890238,0.03399,0.13041,0.00507,0.9772,-0.096,8.569873291879498,-0.010043004786956092,4.300478695609157e-05,9.0,10.0,2.0,3.0966779604232255,0.008246841657180618,0.004850239023027889
Французский сплайн,80.0,10.0,0.6,0.04807199590058929,0.04807199590058925,4.163336342344337e-17,0.047288058340929806,0.04909719987155507,-15.877026072767308,15.877026072767308,0.03396,0.13052,0.00503,0.9816,-0.0883,8.57120502375306,-0.010199962354160558,0.00019996235416055823,20.0,10.0,2.0,3.5424779636291626,0.0037687597618223405,0.0048047405692285645
Французский сплайн,10.0,100.0,0.3,0.04807199590058929,0.0480719959005892,9.020562075079397e-17,0.047288058340929806,0.049065258677045136,-15.596710149748105,15.596710149748105,0.03408,0.13066,0.00515,0.9799,-0.0898,8.571787064356048,-0.01026856150604141,0.00026856150604141066,2.0,10.0,2.0,3.2118951944339553,0.006744697663458997,0.004922389641386718
Французский сплайн,20.0,100.0,0.15,0.04807199590058929,0.04807199590058919,9.71445146547012e-17,0.047288058340929806,0.04906786268985697,-15.61956296618473,15.61956296618473,0.03406,0.13052,0.0052,0.9753,-0.0996,8.566915572381196,-0.009694408747360944,0.0003055912526390564,5.0,10.0,2.0,2.946557465985045,0.010697150946352459,0.004984960456255741
Французский сплайн,10.0,75.0,0.45,0.04807199590058929,0.0480719959005892,9.020562075079397e-17,0.047288058340929806,0.04906605308236165,-15.603681850805856,15.603681850805856,0.03409,0.13076,0.00517,0.9834,-0.0827,8.572150095672848,-0.01031134828124368,0.0003113482812436806,2.0,10.0,2.0,3.5168451904612192,0.003943559865245913,0.00495002087165871
Французский сплайн,15.0,75.0,0.3,0.04807199590058929,0.0480719959005892,9.020562075079397e-17,0.047288058340929806,0.0490777784298656,-15.706583500500471,15.706583500500471,0.03406,0.13062,0.00522,0.9786,-0.0932,8.573732969926679,-0.010497905423115916,0.0004979054231159154,4.0,10.0,2.0,3.1334201229577086,0.007735584664143106,0.005000409060388102
Французский сплайн,25.0,35.0,0.45,0.04807199590058929,0.048071995900589234,5.551115123125783e-17,0.047288058340929806,0.049066334161685314,-15.606148602950327,15.606148602950327,0.03397,0.13041,0.0051,0.9807,-0.0893,8.574005458668456,-0.010530020874318018,0.0005300208743180181,6.0,10.0,2.0,3.45246874149443,0.0044185794781851535,0.004875673024037136
Французский сплайн,10.0,50.0,1.0,0.04807199590058929,0.048071995900589234,5.551115123125783e-17,0.047288058340929806,0.049068362854158214,-15.623952408092464,15.623952408092464,0.03415,0.13129,0.00522,0.9962,-0.0566,8.574160422461851,-0.010548284866116264,0.0005482848661162634,2.0,9.0,2.0,4.894201413277042,0.0001349754911106343,0.005002530629688721
